ID,SKU,Title,Title Original,Description,Category,Status,Price CAD (Base),Margin,Stock,URL,Primary Image,Images,Detail Image,Created At,Updated At
PROD-001,TV-001,Tactical Vest Pro,战术背心专业版,"High-quality tactical vest with MOLLE webbing system. Perfect for airsoft and outdoor activities. Features multiple pockets and adjustable straps.","Gear","Active",89.99,0.5,15,https://example.com/product/tactical-vest,https://example.com/images/tv-001-main.jpg,"[""https://example.com/images/tv-001-1.jpg"",""https://example.com/images/tv-001-2.jpg"",""https://example.com/images/tv-001-3.jpg""]",https://example.com/images/tv-001-detail.jpg,01/01/2025 00:00,11/24/2025 00:00
PROD-002,HELM-001,Combat Helmet,作战头盔,"Military-grade combat helmet with adjustable suspension system. Includes rails for accessories.","Gear","Active",149.99,0.5,8,https://example.com/product/helmet,https://example.com/images/helm-001-main.jpg,"[""https://example.com/images/helm-001-1.jpg"",""https://example.com/images/helm-001-2.jpg""]",https://example.com/images/helm-001-detail.jpg,01/02/2025 00:00,11/24/2025 00:00
PROD-003,BB-5000,0.25g BBs (5000 count),0.25克BB弹（5000发）,"Premium quality 0.25g BBs. High precision and consistency. Perfect for AEGs and gas blowback pistols.","Ammunition","Active",24.99,0.4,50,https://example.com/product/bbs-5000,https://example.com/images/bb-5000-main.jpg,"[""https://example.com/images/bb-5000-1.jpg""]",,01/03/2025 00:00,11/24/2025 00:00
PROD-004,MAG-001,High Capacity Magazine,大容量弹匣,"150-round high capacity magazine. Compatible with M4/M16 platforms.","Accessories","Active",34.99,0.45,25,https://example.com/product/magazine,https://example.com/images/mag-001-main.jpg,"[""https://example.com/images/mag-001-1.jpg"",""https://example.com/images/mag-001-2.jpg""]",,01/04/2025 00:00,11/24/2025 00:00
PROD-005,GOG-001,Tactical Goggles,战术护目镜,"ANSI Z87.1 certified tactical goggles. Anti-fog coating and UV protection.","Safety","Active",29.99,0.5,30,https://example.com/product/goggles,https://example.com/images/gog-001-main.jpg,"[""https://example.com/images/gog-001-1.jpg""]",,01/05/2025 00:00,11/24/2025 00:00
PROD-006,GLOV-001,Tactical Gloves,战术手套,"Full finger tactical gloves with reinforced palms. Touchscreen compatible fingertips.","Gear","Active",19.99,0.5,40,https://example.com/product/gloves,https://example.com/images/glov-001-main.jpg,"[""https://example.com/images/glov-001-1.jpg""]",,01/06/2025 00:00,11/24/2025 00:00
PROD-007,BAT-001,LiPo Battery 7.4V,锂电池7.4V,"High capacity 7.4V LiPo battery. 2000mAh. Includes balance charger.","Accessories","Active",39.99,0.45,20,https://example.com/product/battery,https://example.com/images/bat-001-main.jpg,"[""https://example.com/images/bat-001-1.jpg""]",,01/07/2025 00:00,11/24/2025 00:00
PROD-008,PATCH-001,Morale Patch Set,士气贴片套装,"Set of 5 tactical morale patches. Velcro backed. Various designs.","Accessories","Active",14.99,0.6,100,https://example.com/product/patches,https://example.com/images/patch-001-main.jpg,"[""https://example.com/images/patch-001-1.jpg"",""https://example.com/images/patch-001-2.jpg""]",,01/08/2025 00:00,11/24/2025 00:00
PROD-009,SLING-001,2-Point Tactical Sling,两点战术背带,"Adjustable 2-point tactical sling. Quick release buckles.","Accessories","Active",24.99,0.5,35,https://example.com/product/sling,https://example.com/images/sling-001-main.jpg,"[""https://example.com/images/sling-001-1.jpg""]",,01/09/2025 00:00,11/24/2025 00:00
PROD-010,CASE-001,Hard Case for AEG,气枪硬盒,"Waterproof hard case with foam inserts. Fits most AEG rifles.","Accessories","Active",79.99,0.45,12,https://example.com/product/case,https://example.com/images/case-001-main.jpg,"[""https://example.com/images/case-001-1.jpg"",""https://example.com/images/case-001-2.jpg""]",https://example.com/images/case-001-detail.jpg,01/10/2025 00:00,11/24/2025 00:00
